resource_id	resource_type	name	uri	availability	role	status	notes
RESOURCE-DATA-001	dataset	GSE164522	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	public	Candidate CRLM single-cell cohort	candidate	Processed expression and metadata are public; role requires direction audit.
RESOURCE-METHOD-001	method	Patient-level pseudobulk differential testing	https://bioconductor.org/packages/muscat/	public	Candidate inferential method	candidate	Method choice must match counts and replicate structure.
RESOURCE-CODE-001	code	muscat official vignette	https://bioconductor.org/packages/release/bioc/html/muscat.html	public	Candidate implementation donor	candidate	Use the Bioconductor release compatible with the project R version.
RESOURCE-ENV-001	environment	R 4.4-compatible project environment		local	Execution environment	candidate	Exact package lock is not yet frozen.
RESOURCE-DATA-002	dataset	GSE225857	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	public	Candidate independent CRLM single-cell and spatial cohort	candidate	Processed data are public; six patients were pretreated and only a limited spatial subset is available.
RESOURCE-DATA-003	dataset	GSE205506	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205506	public	Conditional neoadjuvant PD-1 CRC cohort	candidate	Nineteen dMMR/MSI-H patients with mixed treatment arms; raw FASTQ access is request-only.
RESOURCE-DATA-004	dataset	CELLxGENE CRC atlas	https://cellxgene.cziscience.com/collections/3a844375-60ea-474b-adf1-98e76928baee	public	Reference atlas and study-level discovery map	candidate	Use precomputed data and retain underlying study/patient identifiers; do not treat pooled cells as replicates.
RESOURCE-DATA-005	dataset	Bellomo multiregional CRLM Zenodo	https://doi.org/10.5281/zenodo.15322885	public	Candidate independent regional and orthogonal validation cohort	candidate	Six patients with normal liver, tumor edge and tumor core; all completed neoadjuvant chemotherapy.
RESOURCE-DATA-006	dataset	Ex vivo CRLM perfusion CELLxGENE collection	https://cellxgene.cziscience.com/collections/be679cb1-35f0-46c9-9a2d-30691862a54a	public	Candidate persistence or external-validation cohort	candidate	Six donors and 75104 cells; source-paper overlap with the target narrative limits novelty.
RESOURCE-DATA-007	dataset	Progressive-plasticity CRC metastasis collection	https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8	public	Deferred multi-organ metastasis candidate	candidate	CELLxGENE release contains epithelial cells; inspect the undocumented 28.4 GB All.h5ad cell scope before assigning an immune role.
RESOURCE-CODE-002	code	CRC atlas Nextflow workflow	https://github.com/icbi-lab/crc-atlas	public	Engineering and metadata donor	candidate	Strong workflow with containers and precomputed outputs; exact build used A100 80 GB hardware and is not the beginner default.
RESOURCE-CODE-003	code	LianLab CRLM scripts	https://github.com/jalon9358/LianLab_CRCLM	public	Analysis-intent and spatial-method fragment donor	candidate	Lineage-specific R scripts lack a locked environment, automated entry point and tests.
RESOURCE-CODE-004	code	Bellomo Zenodo scripts	https://doi.org/10.5281/zenodo.15322885	public	Regional CRLM analysis fragment donor	candidate	Figure-oriented interactive scripts require a tested noninteractive wrapper.
RESOURCE-CODE-005	code	Progressive-plasticity notebooks and utilities	https://github.com/dpeerlab/progressive-plasticity-crc-metastasis	public	Conditional engineering and analysis donor	candidate	Public data links and utilities are useful, but dependencies are unpinned and tests were not found.
RESOURCE-METHOD-002	method	Random-effects study-level meta-analysis	https://cran.r-project.org/package=metafor	public	Candidate cross-cohort evidence synthesis	candidate	Use only after defining a common effect measure and independent study units at G2.
RESOURCE-DOC-001	document	G0 direction-audit review packet	reports/g0_review_packet.md	local	Human direction decision evidence	accepted	Snapshot dated 2026-08-01; recommendations remain proposed until REVIEW-001 is completed.
RESOURCE-DATA-008	dataset	GSE136103 healthy and cirrhotic human liver single-cell atlas	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136103	public	Primary non-malignant liver comparator	candidate	Twenty-six records include five healthy and five cirrhotic human liver donors split by CD45 enrichment plus blood and mouse samples; G1 must build a human-only donor manifest before analysis.
RESOURCE-DATA-009	dataset	Human healthy and fibrotic liver MERFISH and snRNA-seq Dryad deposit	https://doi.org/10.5061/dryad.37pvmcvsg	public	Orthogonal non-malignant spatial and single-nucleus comparator	candidate	Raw and processed MERFISH plus processed snRNA-seq are public; the 317-gene spatial panel and small donor count must be checked for the prespecified macrophage and CD8 programs.
RESOURCE-DATA-010	dataset	GSE210077 normal and diseased human liver snRNA-seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE210077	public	Independent non-malignant liver expression comparator	candidate	Public single-nucleus profiles from healthy and diseased human liver; use within-study contrasts and retain donor identities.
RESOURCE-DATA-011	dataset	SCP2154 human liver fibrosis single-cell atlas	https://singlecell.broadinstitute.org/single_cell/study/SCP2154	public	Large fibrosis reference and program-definition donor	candidate	The portal reports 328783 cells and a CD9+TREM2+ macrophage subset expressing SPP1, GPNMB, FABP5, and CD63; exact human donor and disease metadata require G1 export inspection.
RESOURCE-CODE-006	code	HendersonLab LiverRegenerationAtlas workflow	https://github.com/HendersonLab/LiverRegenerationAtlas	public	High-quality liver single-cell engineering and analysis donor	candidate	Use selected data-contract, annotation, replicate-aware, and reporting patterns only after a smoke test; it is a donor from a related liver atlas, not authority for the new estimand.
RESOURCE-DOC-002	document	Current G0 candidate portfolio	reports/g0_candidate_portfolio.md	local	Current human direction decision evidence	accepted	Generated under schema v0.2.0 on 2026-08-02; owner approval is still required before G1.
