evidence_id	kind	item	identifier_or_uri	access	code_status	evidence_class	g0_implication	checked_at
EVID-001	paper	Anchor JITC SPP1+TAM study	https://doi.org/10.1136/jitc-2025-014128	mixed public inputs plus request-only study data	none_found	missing	Research grammar is valuable, but exact computational reproduction and intervention verification are not possible from released materials.	2026-08-01
EVID-002	dataset	GSE164522 CRLM immune atlas	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	public processed expression and metadata	paper_code_not_identified	supporting	101 CD45+ samples across blood, lymph node, primary CRC, CRLM and adjacent tissues provide the strongest patient/tissue comparison candidate; patient overlap still requires G1 audit.	2026-08-01
EVID-003	dataset	GSE225857 matched scRNA-seq and spatial CRLM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	public processed files; raw CNSA controlled	public figure_scripts	supporting	Six pretreated patients and 27 samples can provide an independent cohort and limited spatial validation; treatment and the small spatial subset constrain inference.	2026-08-01
EVID-004	dataset	GSE205506 neoadjuvant PD-1 dMMR CRC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205506	public processed data; raw FASTQ request-only	paper_code_not_identified	suggestive	Nineteen MSI-H/dMMR patients and mixed anti-PD-1 versus anti-PD-1 plus celecoxib arms are useful for exploratory treatment remodeling, but not a stand-alone predictive or causal route.	2026-08-01
EVID-005	dataset	CELLxGENE CRC atlas collection	https://cellxgene.cziscience.com/collections/3a844375-60ea-474b-adf1-98e76928baee	public H5AD and models	strong_workflow	supporting	The current CELLxGENE product contains 3,790,266 cells from 588 donors and rich study metadata; underlying studies, rather than pooled cells, must remain the inferential units.	2026-08-01
EVID-006	dataset	Bellomo multiregional CRLM cohort	https://doi.org/10.5281/zenodo.15322885	public count matrices, FCS and scripts	figure_oriented_scripts	supporting	Six patients, 74,804 immune cells and matched normal-liver, edge and core regions offer an independent spatial-zone cohort; all patients completed neoadjuvant chemotherapy.	2026-08-01
EVID-007	dataset	Ex vivo CRLM normothermic perfusion collection	https://cellxgene.cziscience.com/collections/be679cb1-35f0-46c9-9a2d-30691862a54a	public H5AD and linked Zenodo	not_deep_audited	suggestive	Six donors and 75,104 cells at baseline and after perfusion can test state persistence, but the source paper already centers persistent immunosuppressive myeloid niches.	2026-08-01
EVID-008	dataset	Progressive plasticity CRC metastasis collection	https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8	public epithelial H5ADs; 28.4 GB All.h5ad on S3	moderate_notebooks_and_utils	missing	The curated 116,125-cell CELLxGENE release contains epithelial/malignant cell types only; the scope of All.h5ad is not documented well enough to approve a multi-organ immune route without G1 inspection.	2026-08-01
EVID-009	paper	Qi FAP+ fibroblast-SPP1+ macrophage CRC spatial study	https://doi.org/10.1038/s41467-022-29366-6	processed data and public code	fragmentary_hard_coded	supporting	Shows that a generic CAF-SPP1 macrophage spatial-niche substitution is already occupied.	2026-08-01
EVID-010	paper	Bill CXCL9:SPP1 macrophage polarity	https://doi.org/10.1126/science.ade2292	public GEO inputs; some human data controlled	no_complete_workflow_found	supporting	Establishes a continuous pan-cancer macrophage polarity axis, so a new study cannot present CXCL9 versus SPP1 as a novel concept by itself.	2026-08-01
EVID-011	paper	Trehan SPP1+ macrophages and tumor-specific T-cell exhaustion in liver metastases	https://doi.org/10.1038/s41467-025-59529-0	public GEO inputs plus some controlled data	monolithic_trajectory_script	supporting	Directly occupies the SPP1 macrophage-to-T-cell exhaustion and liver-metastasis mechanism space.	2026-08-01
EVID-012	paper	Ding SPP1high macrophage-induced T-cell stress in CRLM	https://doi.org/10.1136/jitc-2025-012330	request-only study data	no_public_paper_workflow	supporting	Directly occupies SPP1-CD44 T-cell stress and combination-therapy claims; unavailable source data also prevents using it as a reproducible base.	2026-08-01
EVID-013	paper	Xie integrated SPP1 macrophage CRC analysis	https://doi.org/10.1016/j.gendis.2024.101340	public input datasets	public_fragmentary_scripts	supporting	Demonstrates that another integrated single-cell, spatial and bulk SPP1 macrophage study is below the novelty floor.	2026-08-01
EVID-014	paper	Chang mCAF-SPP1 macrophage-T-cell CRLM niche	https://doi.org/10.1186/s12967-026-07978-6	public source cohorts; processed outputs/code on request	no_public_complete_workflow	supporting	Occupies the direct mCAF-SPP1 macrophage-T-cell spatial-niche route.	2026-08-01
EVID-015	paper	Zhao SPP1 macrophage-FADS1 tumor-cell crosstalk	https://doi.org/10.1016/j.tranon.2026.102696	request-only study data	reused_method_repo_only	supporting	Occupies a macrophage-tumor metabolic crosstalk mechanism and illustrates why an unrelated public method repository is not paper code.	2026-08-01
EVID-016	paper	Bellomo THBS1-SPP1 monocyte-macrophage axis	https://doi.org/10.1126/sciadv.aed1296	public scRNA-seq, mass cytometry and code	figure_oriented_scripts	supporting	Occupies the THBS1-to-SPP1 trajectory and immune-zone narrative, while supplying a useful independent validation cohort.	2026-08-01
EVID-017	paper	Marteau CRC neutrophil atlas	https://doi.org/10.1016/j.ccell.2025.12.003	public atlas, models, containers and workflow	strong_nextflow_containers	supporting	A comprehensive 2026 multi-modal atlas makes a simple TAM-to-neutrophil replacement non-novel; its precomputed atlas and engineering patterns remain valuable donors.	2026-08-01
EVID-018	paper	Integrated SPP1 and HLA-DRB5 macrophage CRLM analysis	https://pubmed.ncbi.nlm.nih.gov/41715121/	public source cohorts	code_not_identified	supporting	Shows that merely adding a second named macrophage cluster, spatial analysis and a prognostic signature is already occupied.	2026-08-01
EVID-019	code	LianLab CRLM analysis scripts	https://github.com/jalon9358/LianLab_CRCLM	public R scripts	low_to_moderate	suggestive	Lineage-specific and spatial scripts reveal analysis intent, but no locked environment, automated entry point or tests were found; use fragments only.	2026-08-01
EVID-020	code	CRC atlas workflow	https://github.com/icbi-lab/crc-atlas	public Nextflow, environments, containers and precomputed outputs	strong	supporting	Best engineering donor found; exact atlas rebuild used an A100 80 GB GPU and about 159 GB of published artifacts, so this project should consume precomputed subsets rather than clone the full build.	2026-08-01
EVID-021	code	Progressive plasticity notebooks	https://github.com/dpeerlab/progressive-plasticity-crc-metastasis	public notebooks, utilities and MIT pyproject	moderate	suggestive	Public data links and modular utilities help, but dependencies are unpinned, package metadata are generic and no tests were found.	2026-08-01
EVID-022	code	Qi CRC scRNA-seq scripts	https://github.com/youqiongye/CRC_scRNAseq/tree/V1.0.0	public scripts	low	suggestive	Hard-coded laboratory paths, manual steps and old APIs make this an intent donor rather than a stable workflow base.	2026-08-01
EVID-023	code	LPC SPP1 macrophage scripts	https://github.com/LPC19970117/SPP1-macrophages	public scripts	low	suggestive	Standalone figure scripts lack a license, environment lock, tests and run manifest; useful only for method fragments.	2026-08-01
EVID-024	code	TASrev2 trajectory script	https://github.com/rajuvee/TASrev2	public script	low	suggestive	A single large interactive script with lab-specific paths and unpinned dependencies is not a safe beginner workflow base.	2026-08-01
EVID-025	code	Bellomo Zenodo scripts	https://doi.org/10.5281/zenodo.15322885	public five R scripts	low_to_moderate	suggestive	The data are strong, but scripts use interactive file selection and inconsistent object handling without a lockfile or tests.	2026-08-01
EVID-026	method	muscat official Bioconductor implementation	https://bioconductor.org/packages/release/bioc/html/muscat.html	public maintained package and vignettes	official_method_donor	supporting	Provides a higher-quality inferential donor than article scripts for replicate-aware differential-state analysis; final method still depends on the G2 estimand and count structure.	2026-08-01
EVID-027	identifier	Anchor paper GSE17356 citation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17356	public but biologically unrelated	not_applicable	contradictory	GSE17356 is prostate cancer and is likely a typo for GSE17536; exact reproduction must pause for author confirmation rather than silently substitute.	2026-08-01
EVID-028	data_gap	Anchor private imaging and animal source data	https://pmc.ncbi.nlm.nih.gov/articles/PMC13034337/	not_public	not_applicable	missing	Figures 9-10 and the therapeutic-synergy attribution cannot be independently verified from public sequencing data.	2026-08-01
