resource_id	resource_type	name	uri	availability	role	status	notes
RESOURCE-DOC-001	document	Anchor PDF	local://anchor-paper.pdf	local	Primary source	accepted	SHA-256 9e29ec2176588f04c54a9fa1f580f8a05f7575bd83613eaa25b6e8c9c4e20b78; source file is not committed.
RESOURCE-DOC-002	document	Supplementary DOCX	local://12885_2025_15202_MOESM1_ESM.docx	local	Supplementary tables and figures	accepted	SHA-256 96ca592b0049294cfa30b169c850088cb7f4e8d8660e8055b16a964687bf35d2; 4 tables and 12 figures inspected; source file is not committed.
RESOURCE-DATA-001	dataset	TCGA-STAD	https://portal.gdc.cancer.gov/projects/TCGA-STAD	public	Anchor development cohort and primary bulk audit	candidate	Paper used n=348 after unspecified filtering; open expression and clinical fields are available but the exact analysis table is not supplied.
RESOURCE-DATA-002	dataset	Ten GEO gastric bulk cohorts	https://www.ncbi.nlm.nih.gov/geo/	public	Anchor bulk screening and validation candidates	candidate	GSE62254, GSE15459, GSE57303, GSE29272, GSE84437, GSE14210, GSE34942, GSE13861, GSE26942, and GSE26253 exist publicly; paper-specific subsetting and endpoint mapping require reconstruction.
RESOURCE-DATA-003	dataset	Four public gastric single-cell cohorts	https://www.ncbi.nlm.nih.gov/geo/	public	Independent cellular localization candidates	candidate	Sathe PMID 32060101 plus GSE167297, GSE163558, and GSE183904; processed data exist, but the anchor does not report a complete integration or patient-level inference specification.
RESOURCE-DATA-004	dataset	HRA011727 in-house paired single-cell cohort	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011727	controlled	Anchor in-house single-cell data	blocked	Controlled access as of 2026-08-02; official description discusses GREM1+ fibroblasts and SPP1+ macrophages rather than the paper's NRRS analysis, creating a provenance inconsistency that must be resolved with the depositor.
RESOURCE-DATA-005	dataset	PRJEB25780 metastatic gastric cancer pembrolizumab cohort	https://www.ebi.ac.uk/ena/browser/view/PRJEB25780	public	Conditional treatment-cohort sensitivity analysis	candidate	Public study; it is a PD-1 pembrolizumab cohort, not a PD-L1 cohort as stated in the anchor; no untreated comparator supports a treatment-interaction claim.
RESOURCE-DATA-006	dataset	IMvigor210 urothelial cancer cohort	http://research-pub.gene.com/IMvigor210CoreBiologies/	public	Anchor cross-cancer immunotherapy analysis	rejected	Atezolizumab-treated urothelial cancer is not gastric cancer; association after cross-cancer transfer cannot establish gastric treatment prediction.
RESOURCE-DATA-007	dataset	GSE251950 gastric spatial transcriptomics	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE251950	public	Conditional spatial construct validation	candidate	GEO reports nine primary gastric cancer patients and ten Visium profiles because GC6 has paired primary and metastatic samples; G1 must verify neural marker capture, patient metadata, tissue regions, and overlap before use.
RESOURCE-DATA-008	dataset	GSE308624 gastric CosMx spatial cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE308624	public	Conditional high-plex spatial validation	candidate	Public from 2025 with 71 sections and 200182 cells; panel coverage, clinical metadata, compute burden, and independence need G1 verification.
