candidate_id	title	retained_invariants	primary_change_axis	ambition_tier	learning_value	target_contribution	novelty_floor	data_feasibility	code_basis	statistical_identifiability	main_fatal_veto	claim_ceiling	beginner_burden	g0_disposition
DIR-002	Cross-cohort transportability and context boundaries of published myeloid states in CRC and CRLM	Human CRC-CRLM immune ecology; patient-level inference; single-cell plus spatial evidence	Single named SPP1 mechanism to a preregistered panel of published myeloid states and their cross-cohort transportability	bounded_adaptation	Metadata lineage; state mapping; replicate-aware inference; meta-analysis; spatial validation	A reproducibility and evidence-strength map that separates generalizable tissue-associated programs from cohort-specific labels	Must resolve a real contradiction or boundary across independent cohorts; another SPP1 enrichment plot is insufficient	Medium-high: GSE164522, GSE225857, Bellomo, NMP and the CRC atlas are public, subject to overlap and metadata audit	Strong engineering donor from crc-atlas plus official maintained statistical packages; article scripts used only as traceable fragments	Medium-high if effects are estimated within cohort at patient/sample level and then meta-analyzed	Fewer than three independent usable cohorts, fewer than two cohorts sharing the main contrast, no orthogonal spatial cohort, or state definitions cannot be frozen before validation	Associational transportability, heterogeneity and spatial localization; no causality, therapy synergy or clinical biomarker claim	Medium	recommend_primary
DIR-003	External validation of malignancy-linked versus liver-niche-linked immune programs in CRC metastasis	Human paired tissue ecology; patient unit; discovery-validation separation	Single target state to an ecological question separating malignancy-associated from organ-niche-associated programs	evidence_extension	Reference mapping across lineages; domain shift; matched-tissue design; external validation	An externally validated map of which immune programs follow tumor identity versus liver context	Beyond reproducing the original M-type/N-type labels, at least one externally validated boundary or failure mode must be demonstrated	Medium: discovery data are strong, but truly independent matched primary, metastasis and adjacent-liver cohorts are limited	CRC atlas precomputed reference plus official mapping and patient-level inference code; paper code cannot be the sole base	Medium-low because tissue, study, processing and treatment may be inseparable in external cohorts	Fewer than two non-overlapping external matched cohorts or inability to separate tissue from study/treatment effects	Associational ecological alignment or classification; no lineage origin, differentiation direction or causal niche claim	High	recommend_backup
DIR-004	Macrophage-program remodeling during neoadjuvant PD-1 therapy in dMMR CRC	Patient-level immune ecology and a bounded macrophage focus	Metastatic-context comparison to treatment-context paired remodeling	bounded_adaptation	Paired design; response-label audit; treatment interaction; exploratory validation	A modest treatment-context paper if an independent validation source becomes available	Must add an independently validated treatment-response boundary rather than re-describe GSE205506	Low-medium: GSE205506 is public but has 19 patients, mixed anti-PD-1 and celecoxib arms, incomplete pairing and no clear independent CRC ICI single-cell validation	Public processed data and official methods; no strong paper-specific workflow found	Low for response prediction; medium for descriptive paired remodeling	No non-overlapping validation cohort, insufficient paired biological units, or treatment arm remains inseparable from response	Exploratory treatment association only; no predictive biomarker, efficacy or causal claim	Medium	hold_conditional
DIR-005	Approximate reconstruction of the anchor computational figures	Anchor question, tissues and figure logic	No substantive scientific change	training_reproduction	Single-cell, spatial and provenance practice	A transparent learning reproduction and reusable adapters, not a new manuscript	Not applicable as a manuscript direction	Medium for approximate Figures 1-8; blocked for exact values, velocity, private imaging and animal work	Rebuilt tested workflow plus traceable fragments; no author workflow exists	Low for exact replication; adequate for descriptive reconstruction	Mistaking independent reconstruction for exact reproduction or treating it as a novel paper	Descriptive similarity and documented discrepancies only	Low-to-medium	training_only
ALT-001	Another SPP1+TAM mechanism paper in CRLM	Cancer, cell state and metastatic site unchanged	Replace only a receptor, partner, pathway or drug	mechanistic_extension	Low incremental learning	Another named signaling-axis story	Would require genuinely new specific perturbation and human validation, which are not available	Low under current public-data-only scope	No suitable complete public experimental workflow	Very low for causality	Nearest-neighbor saturation plus absence of specific intervention data	Not supportable from current resources	Very high	reject_fatal_novelty_and_evidence
ALT-002	Replace TAMs with neutrophils in CRC/CRLM	Cross-scale CRC immune ecology	Cell type substitution	evidence_extension	Moderate	Neutrophil atlas or niche story	Must exceed the 2026 4.27-million-cell multi-modal CRC neutrophil atlas	High data access but extremely large	Excellent Nextflow and containerized donor, but exact build used A100 80 GB hardware	Medium	Focal scientific space is already comprehensively occupied; simple substitution fails novelty	Associational at best without new experiments	Very high	reject_fatal_novelty
ALT-003	CAF-SPP1 macrophage spatial niche in CRLM	SPP1 macrophage and spatial ecology	Partner-cell substitution	bounded_adaptation	Moderate	Spatial crosstalk story	Would need a new spatially testable interaction beyond existing FAP/mCAF-SPP1 studies	Medium; several public cohorts	Mostly fragmentary paper code	Low-to-medium because co-localization and inferred communication are not mechanism	Qi 2022 and Chang 2026 already occupy the central narrative	Spatial association only	Medium	reject_fatal_novelty
ALT-004	ATP5F1E versus MT-CO1 TAM metabolic subtype as the main axis	Macrophage focus	Marker-defined metabolic subtype	bounded_adaptation	Low if treated as a biological subtype	A metabolic macrophage paper	Must first prove the partition is not mitochondrial QC, stress or sequencing-depth artifact	Low because exact object, velocity layers and validation are missing	No complete author code	Low	Subtype disappears under QC, sample-aware testing or independent mapping; current inputs cannot resolve the artifact risk	At most a robustness/sensitivity observation	Medium	reject_fatal_scientific_validity
ALT-005	Generic pan-cancer SPP1 macrophage analysis	SPP1 macrophage focus	Cancer scope expansion	evidence_extension	Moderate	Pan-cancer association atlas	Must exceed existing CXCL9:SPP1 and pan-cancer myeloid atlases with a predeclared new question	High public-data availability but high harmonization burden	Mixed; several atlas workflows exist	Low-to-medium due cancer, study and platform confounding	Scope expansion without a new estimand produces a larger but not more novel analysis	Associational only	Very high	reject_fatal_scope_and_novelty
ALT-006	Multi-organ metastatic immune ecology using the progressive-plasticity cohort	Matched CRC primary and multiple metastatic organs	Metastatic-site axis	evidence_extension	High	Organ-specific versus shared immune programs	Must have immune cells and matched metadata across multiple organs with external validation	Uncertain: CELLxGENE release is epithelial-only and the public 28.4 GB All.h5ad has undocumented cell scope	Moderate unpinned notebooks and utilities	Unknown until immune content and sample coverage are verified	Public object may not contain the required immune cells or enough donors per metastatic organ	Associational organ context only	High	defer_pending_G1_object_inspection
