evidence_id	category	item	source	status	finding	G0_consequence	confidence
EVID-001	source	Anchor article PDF	DOI 10.1186/s12885-025-15202-9	available	Fifteen-page article reviewed page by page; SHA-256 recorded in resources registry	Primary factual source for methods, results, limitations, and data statement	high
EVID-002	source	Supplementary DOCX	MOESM1 ESM	available	Four tables, 12 figures, and 441-gene list inspected; no executable code or parameter table	Supplement improves cohort inventory but does not close implementation gaps	high
EVID-003	code	Exact author code	Paper, supplement, DOI, title, HRA, and targeted GitHub searches	not_found	No code-availability statement or exact repository found as of 2026-08-02	Independent modular reconstruction is required; exact reproduction cannot be promised	high
EVID-004	construct	Definition of 441 nerve-related genes	Supplement Table S4	incomplete	Gene symbols are listed but KEGG pathway IDs, version, retrieval date, and inclusion logic are absent	The initial biological construct cannot be regenerated exactly and requires provenance repair	high
EVID-005	model	Eight-gene coefficients	Article page 4	available	AGT, EPHB3, GNAI1, LPAR2, LRRC4C, NPY1R, NRP1, and SEMA6A coefficients are reported	A frozen linear predictor can be reconstructed under explicit preprocessing assumptions	high
EVID-006	model	Baseline survival and intercept	Article and supplement	missing	No baseline hazard or baseline survival function is reported	Absolute survival probabilities and full calibration of the original model are not recoverable	high
EVID-007	model	Risk cutoff	Article and supplement	missing	Cutoff algorithm and value are absent; authors state the optimal cutoff remains uncertain	Use continuous score as primary; any dichotomy must be prespecified sensitivity analysis, not original-model replication	high
EVID-008	preprocessing	Cross-platform expression transformation	Article pages 2-3	ambiguous	RMA, ComBat, and z-score are named, but probe mapping, z-score direction, sample filters, and cohort-specific implementation are not specified	G2 needs frozen transformations and a sensitivity grid; no hidden tuning on outcomes	high
EVID-009	independence	GEO-meta and three component cohorts	Article pages 2-5	non_independent	GSE62254, GSE15459, and GSE57303 participate in screening through GEO-meta and are later called validation datasets	They cannot be treated as fully independent external validation of feature selection	high
EVID-010	bulk_data	Eleven public gastric cohorts	NCBI GEO and GDC	public_with_reconstruction	All listed accessions exist publicly, but GEO series totals often exceed the paper's analyzed subset	G1 must create sample-level inclusion and endpoint manifests before analysis	high
EVID-011	single_cell	HRA011727 in-house data	GSA-Human official project page	controlled	Controlled access; page title matches the paper but description discusses GREM1+ fibroblasts and SPP1+ macrophages	Do not make this cohort a fatal dependency; request clarification before any access application	high
EVID-012	single_cell	Four public gastric scRNA cohorts	NCBI GEO and source publications	public	Processed matrices are available for Sathe, GSE167297, GSE163558, and GSE183904	Patient-level cellular localization is feasible without HRA011727, subject to metadata audit	high
EVID-013	single_cell	Biological replicate in tumor-normal test	Article Figure 9 and supplement Figure S12	unclear	Paper reports cell-level distributions but does not specify paired patient-level inference	A replicate-aware pseudobulk or mixed model is mandatory for new claims	medium_high
EVID-014	construct	Cellular localization of score genes	Article Figure 9 and supplement Figure S12	available	Strongest signals are endothelial, epithelial, fibroblast, or myeloid; no neural or Schwann cluster is reported	Neural identity is an unverified label and must compete with composition controls	high
EVID-015	confounding	Purity and stromal association	Article Figure 6 and supplement Figure S8	available	High NRRS has higher immune and stromal estimates and lower tumor purity	Purity, endothelial, fibroblast, epithelial, stage, and MSI programs are required confounder or comparator analyses	high
EVID-016	immunotherapy	PRJEB25780	ENA/DDBJ BioProject	public_but_misdescribed	Public metastatic gastric pembrolizumab cohort; treatment is PD-1, not PD-L1	Permits only a sensitivity association; terminology and cohort construction must be corrected	high
EVID-017	immunotherapy	IMvigor210	Source study and data package	cross_cancer	Urothelial cancer atezolizumab cohort, not gastric cancer	Exclude from primary gastric predictive claim; at most use as a clearly labeled stress test	high
EVID-018	immunotherapy	Treatment interaction	Both immunotherapy cohorts	missing	No untreated comparator and no randomized treatment interaction; NRRS is also associated with MSI/TMB	Do not claim treatment benefit, predictive biomarker status, or therapeutic selection	high
EVID-019	spatial_data	GSE251950	GEO and Gut paper	public_candidate	Nine-sample gastric spatial resource is reported publicly	Conditional orthogonal construct check after marker, metadata, and overlap audit	medium_high
EVID-020	spatial_data	GSE308624	GEO	public_candidate	High-plex CosMx resource reports 71 gastric sections and 200182 cells	Promising but compute, panel, clinical annotation, and nerve capture must pass a small G1 feasibility spike	medium
EVID-021	nearby_literature	Multicenter gastric nerve-density study	DOI 10.1002/INMD.20230040	available	Directly measures sympathetic, parasympathetic, and Schwann-cell densities in 257 precancerous lesions	Raises the novelty and validity bar above a pathway-derived expression signature	high
EVID-022	method_standard	TRIPOD and PROBAST	DOI 10.1136/bmj.g7594; DOI 10.7326/M18-1377	available	External validation, calibration, participant/predictor/outcome/analysis risks are explicitly defined	Use as the methodological floor for DIR-002 and DIR-004	high
