paper_id	title	doi	role	status	source_uri	notes
PAPER-001	Development and validation of a novel nerve-related prognostic model for gastric cancer based on bulk and single-cell RNA sequencing data	10.1186/s12885-025-15202-9	anchor	accepted	https://doi.org/10.1186/s12885-025-15202-9	Local PDF and DOCX supplement audited; copyrighted source files are not committed.
PAPER-002	The role of dynamic interplay exists between sympathetic and parasympathetic nerve in gastric tumorigenesis	10.1002/INMD.20230040	supporting	accepted	https://doi.org/10.1002/INMD.20230040	Orthogonal comparator because it measures sympathetic, parasympathetic, and Schwann-cell density in multicenter tissue cohorts.
PAPER-003	Denervation suppresses gastric tumorigenesis	10.1126/scitranslmed.3009569	supporting	accepted	https://doi.org/10.1126/scitranslmed.3009569	Mechanistic benchmark for the evidence needed to make a neural-causality claim.
PAPER-004	Single-Cell Atlas of Lineage States, Tumor Microenvironment, and Subtype-Specific Expression Programs in Gastric Cancer	10.1158/2159-8290.CD-21-0683	data	accepted	https://doi.org/10.1158/2159-8290.CD-21-0683	Public gastric single-cell reference with patient identities and spatial profiling described in the paper.
PAPER-005	Spatial dissection of tumour microenvironments in gastric cancers reveals the immunosuppressive crosstalk between CCL2+ fibroblasts and STAT3-activated macrophages	10.1136/gutjnl-2024-332901	data	accepted	https://doi.org/10.1136/gutjnl-2024-332901	Public GSE251950 spatial cohort and a strong nearby cross-scale design.
PAPER-006	Transparent reporting of a multivariable prediction model for individual prognosis or diagnosis: the TRIPOD statement	10.1136/bmj.g7594	method	accepted	https://doi.org/10.1136/bmj.g7594	Defines genuine external validation as applying the original model to new participants and assessing performance.
PAPER-007	PROBAST: A Tool to Assess Risk of Bias and Applicability of Prediction Model Studies: Explanation and Elaboration	10.7326/M18-1377	method	accepted	https://doi.org/10.7326/M18-1377	Risk-of-bias framework for participants, predictors, outcomes, and analysis.
PAPER-008	Predicting response to immunotherapy in gastric cancer via assessing perineural invasion-mediated inflammation in tumor microenvironment	10.1186/s13046-023-02730-0	supporting	accepted	https://doi.org/10.1186/s13046-023-02730-0	Direct nearest neighbor that derives a PNI-mediated inflammation score from GSE214293 and already occupies a simple PNI-expression-signature route.
PAPER-009	Abstract 6227: A single-cell enteric glial signature predicts poor survival in gastric cancer	10.1158/1538-7445.AM2026-6227	supporting	accepted	https://doi.org/10.1158/1538-7445.AM2026-6227	A 2026 conference abstract integrates six single-cell datasets and uses LASSO survival modeling; it directly weakens a simple enteric-glial signature substitution.
PAPER-010	Schwann cell-derived PSAP promotes perineural invasion and metastasis of gastric cancer by activating TGF-beta1/Smad signaling	10.1186/s13046-026-03652-3	supporting	accepted	https://doi.org/10.1186/s13046-026-03652-3	Recent mechanistic neighbor linking Schwann cells to gastric PNI; study data are available from the authors rather than a fully public reusable deposit.
PAPER-011	Neuron-derived MIF facilitates perineural invasion of gastric cancer via the VCAM1-CXCL8 signaling axis	10.1002/advs.76195	supporting	accepted	https://doi.org/10.1002/advs.76195	Recent neuron-tumor mechanism that raises the evidence bar for any causal neural claim based only on public observational transcriptomics.
PAPER-012	Single-cell spatial landscape of gastric cancer reveals multicellular communities associated with patient survival	10.1186/s12943-025-02490-9	data	accepted	https://doi.org/10.1186/s12943-025-02490-9	Source study for the public GSE308624 CosMx cohort; valuable for spatial localization but not automatically PNI-labeled.
PAPER-013	Perineural invasion affects prognosis of patients undergoing chemotherapy for advanced gastric cancer	10.3389/fonc.2020.00530	supporting	accepted	https://doi.org/10.3389/fonc.2020.00530	Reports pathological PNI annotation in GSE62254 and TCGA-STAD analyses; treatment association remains observational and cannot establish predictive benefit.
