dataset	modality	anchor_role	anchor_n	archive_n_or_scope	access	independence_from_feature_selection	usable_role_in_DIR002	critical_issue
TCGA-STAD	bulk RNA-seq	Feature selection, LASSO fitting, nomogram training, mutation and TME analyses	348	Public GDC project; exact paper subset not supplied	public	development_only	Reconstruction and internal bootstrap; never external validation	Sample filters, clinical endpoint mapping, z-score direction, baseline hazard, and cutoff missing
GSE62254	bulk microarray GPL570	Part of GEO-meta screening and later named validation	300	300 samples in GEO series	public	not_independent	Screening sensitivity and preprocessing reconstruction only	Reused in gene screening through GEO-meta
GSE15459	bulk microarray GPL570	Part of GEO-meta screening and later named validation	192	200 samples in GEO series	public	not_independent	Screening sensitivity and subset-manifest audit	Eight-sample exclusion and endpoint mapping are not reported
GSE57303	bulk microarray GPL570	Part of GEO-meta screening and later named validation	70	70 samples in GEO series	public	not_independent	Screening sensitivity only	Small cohort and reused in feature screening
GEO-meta	merged bulk microarray	Second survival screen and reported validation	562	Derived from GSE62254, GSE15459, and GSE57303	derived	not_independent	Reconstruct only to audit selection instability	Same data define candidate genes and later support performance
GSE29272	bulk microarray GPL96	OS validation	126	268 samples in GEO series	public	independent_candidate	External relative-score transportability after sample manifest	Large unexplained subset difference and mixed cardia/non-cardia design
GSE84437	bulk microarray GPL6947	OS validation	433	483 samples in GEO series	public	independent_candidate	External relative-score transportability	SuperSeries composition and 50-sample exclusion need resolution
GSE14210	bulk microarray GPL571	OS validation	123	167 samples in GEO series	public	independent_candidate	External relative-score transportability	Endoscopic biopsy SuperSeries; target population and exclusions need review
GSE34942	bulk microarray GPL570	OS validation	56	56 samples in GEO series	public	independent_candidate	Small external stress test	Low event count likely; covariate completeness uncertain
GSE13861	bulk microarray GPL6884	OS and RFS validation	65	90 samples in GEO series	public	independent_candidate	External OS/RFS sensitivity	Twenty-five-sample exclusion, endpoint definitions, and platform mapping need resolution
GSE26942	bulk microarray GPL6947	OS and RFS validation	202	217 samples in GEO series	public	independent_candidate	External OS/RFS sensitivity	SuperSeries and 15-sample exclusion require a sample-level map
GSE26253	bulk microarray GPL8432	RFS validation	432	432 samples in GEO series	public	independent_candidate	External recurrence analysis	FFPE and adjuvant chemoradiotherapy setting differs from other cohorts
HRA011727	scRNA-seq	Eight paired in-house patients and main Figure 9	8 patients; 55052 cells	Controlled project PRJCA040877	controlled	independent_but_blocked	Nonessential replication only after provenance and access approval	Controlled access; official description is inconsistent with the NRRS paper
Sathe 2020	scRNA-seq	Public validation subset	18 samples; 31429 cells	Source paper reports seven GC patients plus one intestinal-metaplasia patient and 56167 total cells including PBMC	public	independent_candidate	Patient-level cellular localization	Anchor subset, tissue inclusion, and cell filters are not documented
GSE167297	scRNA-seq	Public validation	14 samples; 20236 cells	14 samples in GEO series	public	independent_candidate	Patient-level cellular localization	Diffuse-type invasion-focused design limits generalizability
GSE163558	scRNA-seq	Public validation subset	4 samples; 38899 cells	10 tissue samples from six patients and 42968 cells in source record	public	independent_candidate	Patient-level primary-tumor localization after explicit subsetting	Anchor apparently excludes metastases without a reproducible sample manifest
GSE183904	scRNA-seq	Public validation subset	36 samples; 145138 cells	40 GEO samples; source atlas reports more than 200000 cells from 31 patients	public	independent_candidate	Primary patient-level atlas and cell-state comparator	Anchor filtering and mapping to 36 samples are undocumented; raw files unavailable for privacy
PRJEB25780	bulk RNA-seq plus clinical response	Gastric immunotherapy validation	45 patients	Public metastatic gastric pembrolizumab study	public	independent_for_association	Optional treated-cohort stress test only	PD-1 incorrectly called PD-L1; no untreated control; MSI and other confounding
IMvigor210	bulk RNA-seq plus clinical response	Cross-cancer immunotherapy validation	Not clearly stated in methods	Metastatic urothelial cancer atezolizumab cohort	processed_public	wrong_target_population	Exclude from primary gastric claim	Cross-cancer transfer without recalibration cannot establish gastric treatment prediction
GSE251950	spatial transcriptomics	Not used by anchor	9 gastric samples reported	Public GEO spatial cohort	public	independent_candidate	Conditional neural-versus-stromal spatial falsification	G1 must verify nerve/Schwann markers, region labels, patient metadata, and overlap
GSE308624	CosMx spatial transcriptomics	Not used by anchor	Not applicable	71 gastric sections and 200182 spatial cells reported	public	independent_candidate	Conditional high-plex spatial replication	Panel coverage, H. pylori-enriched design, clinical metadata, data size, and code burden
