paper_id	title	doi	role	status	source_uri	notes
PAPER-001	Targeting SPP1+TAMs associated with liver metastasis reverses immunosuppression and synergizes with immunotherapy in colorectal cancer	10.1136/jitc-2025-014128	anchor	accepted	https://doi.org/10.1136/jitc-2025-014128	Anchor paper; code and several paper-specific source datasets are unavailable.
PAPER-002	Single-cell analyses reveal phenotypic linkage between colorectal cancer and liver metastasis	10.1016/j.ccell.2022.02.013	data	accepted	https://doi.org/10.1016/j.ccell.2022.02.013	Source of GSE164522 and the malignancy-linked versus niche-linked immune-state framework.
PAPER-003	Spatiotemporal Immune Landscape of Colorectal Cancer Liver Metastasis at Single-Cell Level	10.1158/2159-8290.CD-21-0316	supporting	accepted	https://doi.org/10.1158/2159-8290.CD-21-0316	Foundational single-cell and spatial CRLM atlas; already reports metabolically active macrophage states.
PAPER-004	Single-cell and spatial analysis reveal interaction of FAP+ fibroblasts and SPP1+ macrophages in colorectal cancer	10.1038/s41467-022-29366-6	supporting	accepted	https://doi.org/10.1038/s41467-022-29366-6	Nearest neighbor that occupies the generic fibroblast-SPP1 macrophage spatial-niche route.
PAPER-005	CXCL9:SPP1 macrophage polarity identifies a network of cellular programs that control human cancers	10.1126/science.ade2292	supporting	accepted	https://doi.org/10.1126/science.ade2292	Defines a continuous pan-cancer macrophage polarity axis and constrains novelty.
PAPER-006	SPP1+ macrophages cause exhaustion of tumor-specific T cells in liver metastases	10.1038/s41467-025-59529-0	supporting	accepted	https://doi.org/10.1038/s41467-025-59529-0	Direct nearest neighbor for SPP1 macrophage-mediated T-cell exhaustion in liver metastasis.
PAPER-007	SPP1high macrophage-induced T-cell stress promotes colon cancer liver metastasis through SPP1/CD44/PI3K/AKT signaling	10.1136/jitc-2025-012330	supporting	accepted	https://doi.org/10.1136/jitc-2025-012330	Direct nearest neighbor for T-cell stress and SPP1-CD44 signaling; study data are request-only.
PAPER-008	SPP1+ macrophages in colorectal cancer: Markers of malignancy and promising therapeutic targets	10.1016/j.gendis.2024.101340	supporting	accepted	https://doi.org/10.1016/j.gendis.2024.101340	Integrated public-data SPP1 macrophage study with public but fragmentary scripts.
PAPER-009	Integrated single-cell and spatial transcriptomic analysis reveals mCAF-SPP1+ macrophage-T cell crosstalk shaping immunosuppressive niches in colorectal cancer liver metastasis	10.1186/s12967-026-07978-6	supporting	accepted	https://doi.org/10.1186/s12967-026-07978-6	Occupies the direct mCAF-SPP1 macrophage-T-cell spatial-niche route.
PAPER-010	Multiregional profiling reveals THBS1-SPP1 monocyte-macrophage axis drives immunosuppression and outcome in colorectal liver metastases	10.1126/sciadv.aed1296	data	accepted	https://doi.org/10.1126/sciadv.aed1296	Public independent multiregional CRLM cohort and direct nearest-neighbor mechanism.
PAPER-011	Single-cell integration and multi-modal profiling reveals phenotypes and spatial organization of neutrophils in colorectal cancer	10.1016/j.ccell.2025.12.003	method	accepted	https://doi.org/10.1016/j.ccell.2025.12.003	Comprehensive CRC atlas; strong code and data donor that also fatally weakens a simple neutrophil substitution.
PAPER-012	Remodeling of the immune and stromal cell compartment by PD-1 blockade in mismatch repair-deficient colorectal cancer	10.1016/j.ccell.2023.04.011	data	accepted	https://doi.org/10.1016/j.ccell.2023.04.011	Source of GSE205506; mixed treatment arms and limited non-pCR cases constrain a treatment-response route.
PAPER-013	Ex vivo modelling of human colorectal cancer liver metastasis by normothermic machine perfusion	10.1186/s12943-025-02430-7	data	accepted	https://doi.org/10.1186/s12943-025-02430-7	Public six-donor longitudinal ex vivo cohort; the source paper already analyzes persistent immunosuppressive myeloid niches.
PAPER-014	Progressive plasticity during colorectal cancer metastasis	10.1038/s41586-024-08150-0	data	accepted	https://doi.org/10.1038/s41586-024-08150-0	High-value matched multi-organ CRC cohort, but the curated CELLxGENE release is epithelial and the large All.h5ad scope requires G1 inspection.
PAPER-015	Colorectal Cancer Metastases in the Liver Establish Immunosuppressive Spatial Networking between Tumor-Associated SPP1+ Macrophages and Fibroblasts	10.1158/1078-0432.CCR-22-2041	supporting	accepted	https://doi.org/10.1158/1078-0432.CCR-22-2041	Direct CRLM nearest neighbor showing a profibrogenic SPP1 macrophage state and spatial proximity to fibroblasts; constrains any generic SPP1-CAF route.
PAPER-016	Integrated single-cell and spatial transcriptomics uncover SPP1+ and HLA-DRB5+ macrophages as key modulators of the immune microenvironment in colorectal cancer liver metastasis	10.1186/s12967-026-07853-4	supporting	accepted	https://doi.org/10.1186/s12967-026-07853-4	2026 public-data integration that occupies a simple SPP1 or alternative-macrophage spatial and prognostic analysis.
PAPER-017	Integrative single-cell and spatial transcriptomic analysis reveals lipid metabolism-mediated macrophage heterogeneity during colorectal cancer liver metastasis progression	10.1186/s12967-025-07581-1	supporting	accepted	https://doi.org/10.1186/s12967-025-07581-1	Occupies a generic lipid-metabolism macrophage route across normal colon, primary CRC, and CRLM.
PAPER-018	Resolving the fibrotic niche of human liver cirrhosis at single-cell level	10.1038/s41586-019-1631-3	data	accepted	https://doi.org/10.1038/s41586-019-1631-3	Human healthy-versus-cirrhotic liver reference defining TREM2+CD9+ scar-associated macrophages and providing GSE136103.
PAPER-019	Identification of a broadly fibrogenic macrophage subset induced by type 3 inflammation	10.1126/sciimmunol.add8945	supporting	accepted	https://doi.org/10.1126/sciimmunol.add8945	Shows that SPP1, GPNMB, FABP5, and CD63 mark a broadly fibrogenic macrophage program, motivating a tumor-specific versus repair-shared comparison.
PAPER-020	Spatial transcriptomics of healthy and fibrotic human liver at single-cell resolution	10.1038/s41467-024-55325-4	data	accepted	https://doi.org/10.1038/s41467-024-55325-4	Public matched human liver snRNA-seq and MERFISH resource with GEO and Dryad deposits for orthogonal non-malignant spatial comparison.
